上海,#genre#
咪咕全民热练,http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000003000000068
东方卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010054/1.m3u8
东方卫视,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000004000014098
新闻综合,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031110
新闻综合,http://180.158.150.239:8888/rtp/239.45.3.209:5140
新闻综合,http://58.32.17.71:4022/rtp/239.45.3.209:5140
上海都市,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000010000018926#http://180.158.150.239:8888/rtp/239.45.3.236:5140
五星体育,http://180.158.150.239:8888/rtp/239.45.3.210:5140
第一财经,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000010000027146#http://180.158.150.239:8888/rtp/239.45.3.211:5140
上海外语,http://180.158.150.239:8888/rtp/239.45.1.127:5140
纪实人文,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8
乐游,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031112
东方影视,http://180.158.150.239:8888/rtp/239.45.3.237:5140
游戏风云,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031114
魅力足球,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031207#
法治天地,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=9001547084732463424#
金色学堂,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000010000026105
哈哈炫动,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031123
都市剧场,http://58.32.17.71:4022/rtp/239.45.3.136:5140
欢笑剧场,http://58.32.17.71:4022/rtp/239.45.3.196:5140
欢笑剧场（4K）,http://58.32.17.71:4022/rtp/239.45.1.4:5140
生活时尚,http://58.32.17.71:4022/rtp/239.45.3.132:5140
游戏风云,http://58.32.17.71:4022/rtp/239.45.3.131:5140
教育台,http://58.32.17.71:4022/rtp/239.45.3.252:5140
东方财经,http://58.32.17.71:4022/rtp/239.45.3.192:5140
七彩戏剧,http://58.32.17.71:4022/rtp/239.45.1.112:5140
法治天地,http://58.32.17.71:4022/rtp/239.45.1.46:5140
苏州4k,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
爱上4K,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000459/index.m3u8?IAS


央视卫视,#genre#
CCTV1,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002133/1.m3u8
CCTV1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV2,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://[2409:8087:1a0b:df::4017]:80/wh7f454c46tw3670893512_-517213533/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000004794/1.m3u8
CCTV5+,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000020505/1.m3u8
CCTV5+,http://[2409:8087:1a0b:df::4015]/wh7f454c46tw1428698786_1667036455/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV6,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
